name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
naoki inoue,,175.26,56.7,180.34,Orthodox,1997-06-14,1,1,0,0,2
clayton carpenter,,167.64,56.7,167.64,Orthodox,1996-06-09,2,0,0,0,2
ivan salaverry,,182.88,83.91,,Orthodox,1971-01-11,3,4,0,0,7
cody mckenzie,,182.88,70.31,182.88,Switch,1987-12-16,3,4,0,0,7
tamdan mccrory,The Barncat,193.04,83.91,193.04,Switch,1986-11-05,4,5,0,0,9
jailton almeida,Malhadinho,190.5,92.99,200.66,Orthodox,1991-06-26,7,1,0,0,8
mark weir,The Wizard,187.96,83.91,,Southpaw,1967-09-19,1,2,0,0,3
shane del rosario,,193.04,113.4,,Southpaw,1983-09-23,0,2,0,0,2
juan espino,El Guapo,190.5,115.67,203.2,Orthodox,1980-10-09,2,1,0,0,3
jason lambert,The Punisher,190.5,83.91,190.5,Orthodox,1975-06-03,4,4,0,0,8
noad lahat,Neo,175.26,65.77,175.26,Orthodox,1984-06-08,2,2,0,0,4
paddy pimblett,The Baddy,177.8,70.31,185.42,Orthodox,1995-01-03,6,0,0,0,6
gabriel miranda,Fly,180.34,65.77,180.34,Orthodox,1990-03-25,1,2,0,0,3
rob kimmons,The Rosedale Reaper,177.8,83.91,185.42,Orthodox,1981-01-30,3,4,0,0,7
hermes franca,,167.64,70.31,180.34,Orthodox,1974-08-26,6,5,0,0,11
cesar arzamendia,Goku,180.34,70.31,,Orthodox,1991-01-31,0,2,0,0,2
antonio rodrigo nogueira,Minotauro,190.5,108.86,195.58,Orthodox,1976-06-02,5,6,0,0,11
chris lytle,Lights Out,180.34,77.11,172.72,Orthodox,1974-08-18,10,10,0,0,20
ramiz brahimaj,,177.8,77.11,182.88,Orthodox,1992-11-17,3,3,0,0,6
eugene jackson,The Wolf,172.72,83.91,,Orthodox,1966-09-23,3,4,0,0,7
joe doerksen,El Dirte,182.88,83.91,190.5,Orthodox,1977-10-09,2,7,0,0,9
wes sims,The Project,208.28,117.93,,Orthodox,1979-08-04,0,3,0,0,3
jp buys,Young Savage,165.1,61.23,170.18,Orthodox,1996-04-30,0,4,0,0,4
brandon royval,Raw Dawg,175.26,56.7,172.72,Southpaw,1992-08-16,7,3,0,0,10
mats nilsson,,185.42,77.11,,Orthodox,1983-12-05,0,2,0,0,2
jose maria,No Chance,165.1,56.7,,Orthodox,1982-01-04,0,2,0,0,2
yoshiki takahashi,Kazuo,180.34,90.26,,Southpaw,1969-03-13,1,0,0,0,1
ikram aliskerov,,182.88,83.91,193.04,Southpaw,1992-12-07,1,1,0,0,2
kimo leopoldo,,190.5,106.59,,Orthodox,1968-01-05,2,3,0,0,5
chas skelly,The Scrapper,180.34,65.77,182.88,Orthodox,1985-05-11,8,3,0,1,12
ruan potts,Fangzz,187.96,112.04,190.5,Orthodox,1978-02-23,0,3,0,0,3
mark holst,Boots,182.88,70.31,,Orthodox,1985-08-14,0,2,0,0,2
seth petruzelli,The Silverback,182.88,92.99,193.04,Orthodox,1979-12-03,0,4,0,0,4
christian morecraft,,198.12,117.93,205.74,Orthodox,1986-09-08,1,3,0,0,4
niklas backstrom,,185.42,65.77,,Orthodox,1989-08-22,1,2,0,0,3
kaynan kruschewsky,Bahia,182.88,70.31,185.42,Orthodox,1991-04-04,0,2,0,0,2
drew fickett,The Master,177.8,70.31,177.8,Orthodox,1979-12-14,4,3,0,0,7
ryan thomas,The Tank Engine,182.88,77.11,,Orthodox,1984-11-05,0,2,0,0,2
ryan hall,The Wizard,177.8,65.77,177.8,Southpaw,1985-02-22,5,1,0,0,6
dustin kimura,The Diamond,170.18,61.23,180.34,Orthodox,1989-05-21,2,3,0,0,5
josh grispi,The Fluke,180.34,65.77,187.96,Orthodox,1988-10-14,0,4,0,0,4
anthony torres,The Crush,172.72,77.11,,Orthodox,1978-07-31,1,1,0,0,2
danny henry,The Hatchet,182.88,65.77,185.42,Orthodox,1988-07-17,2,2,0,0,4
joe stevenson,Daddy,170.18,65.77,177.8,Orthodox,1982-06-15,8,8,0,0,16
wilson gouveia,,185.42,83.91,193.04,Orthodox,1978-10-03,6,4,0,0,10
chris price,The Exorcist,187.96,83.91,,Southpaw,1982-11-09,0,2,0,0,2
fredson paixao,,167.64,65.77,167.64,Orthodox,1979-05-13,0,1,0,0,1
jake hadley,White Kong,170.18,56.7,177.8,Southpaw,1996-08-03,3,4,0,0,7
chase hooper,The Dream,185.42,70.31,187.96,Southpaw,1999-09-13,7,3,0,0,10
andrew holbrook,,180.34,70.31,177.8,Southpaw,1986-02-06,2,3,0,0,5
polyana viana,Dama de Ferro,165.1,52.16,170.18,Orthodox,1992-06-14,4,6,0,0,10
logan clark,,187.96,83.91,,Orthodox,1985-02-16,1,0,0,0,1
nate loughran,,187.96,83.91,,Orthodox,1980-07-28,1,1,0,0,2
tim mckenzie,,182.88,83.91,187.96,Orthodox,1982-07-21,0,1,0,0,1
mackens semerzier,Da Menace,175.26,65.77,182.88,Orthodox,1980-11-03,1,1,0,1,3
dennis hallman,Superman,175.26,70.31,182.88,Orthodox,1975-12-02,4,5,0,0,9
chris brennan,The Westside Strangler,172.72,77.11,,Orthodox,1971-10-12,1,2,0,0,3
josh sampo,The Gremlin,162.56,56.7,162.56,Orthodox,1984-07-24,1,3,0,0,4
katsuhisa fujii,Shamoji,182.88,92.99,,Orthodox,1972-08-15,1,1,0,0,2
harry hunsucker,The Hurricane,187.96,92.99,190.5,Orthodox,1989-01-03,0,3,0,0,3
dave galera,Scarecrow,180.34,61.23,,Orthodox,1978-01-12,0,1,0,0,1
chad reiner,The Grinder,180.34,77.11,,Orthodox,1981-06-29,0,2,0,0,2
jacob volkmann,Christmas,175.26,70.31,180.34,Southpaw,1980-09-05,6,4,0,0,10
brock larson,,180.34,77.11,180.34,Southpaw,1977-08-23,3,3,0,0,6
nick serra,The Mad Monkey,175.26,77.11,,Orthodox,1978-03-27,0,1,0,0,1
chris holdsworth,,180.34,61.23,,,,2,0,0,0,2
david mitchell,Daudi,182.88,77.11,190.5,Orthodox,1979-10-24,1,4,0,0,5
john halverson,The Hurricane,175.26,70.31,,Southpaw,1972-09-08,0,2,0,0,2
jimmy crute,,187.96,92.99,187.96,Orthodox,1996-03-04,4,4,1,0,9
joe lauzon,,177.8,70.31,180.34,Orthodox,1984-05-22,15,12,0,0,27
jafel filho,Pastor,170.18,56.7,172.72,Orthodox,1993-05-05,2,1,0,0,3
mark scanlon,,175.26,77.11,,Orthodox,,0,1,0,0,1
chris tickle,BadBoy,175.26,70.31,,,,0,1,0,0,1
ivana petrovic,,172.72,56.7,177.8,Southpaw,1994-06-11,1,2,0,0,3
abdul-kerim edilov,,187.96,92.99,,Orthodox,1991-11-25,1,0,0,0,1
jason macdonald,The Athlete,190.5,83.91,203.2,Orthodox,1975-06-03,6,8,0,0,14
john gunderson,Quick Guns,175.26,70.31,175.26,Orthodox,1979-01-05,1,2,0,0,3
chris haseman,The Hammer,180.34,92.99,,Orthodox,1969-06-02,0,1,0,0,1
martin kampmann,The Hitman,182.88,77.11,182.88,Orthodox,1982-04-17,11,6,0,0,17
frank mir,,190.5,119.75,200.66,Southpaw,1979-05-24,16,11,0,0,27
mitch gagnon,,165.1,61.23,165.1,Southpaw,1984-10-10,4,4,0,0,8
lucio linhares,,187.96,83.91,,Orthodox,1973-12-08,0,2,0,0,2
roger gracie,,193.04,83.91,200.66,Orthodox,1981-09-26,0,1,0,0,1
saidyokub kakhramonov,,172.72,61.23,175.26,Orthodox,1995-11-14,2,1,0,0,3
mickey gall,,187.96,77.11,187.96,Switch,1992-01-22,6,7,0,0,13
joe soto,One Bad Mofo,167.64,61.23,165.1,Orthodox,1987-03-22,3,5,0,0,8
pat sabatini,,172.72,65.77,177.8,Orthodox,1990-11-09,6,2,0,0,8
jessamyn duke,The Gun,180.34,61.23,185.42,Orthodox,1986-06-24,1,3,0,0,4
ryan jensen,,185.42,83.91,193.04,Orthodox,1977-09-20,2,6,0,0,8
roman mitichyan,,177.8,77.11,,Orthodox,1978-09-04,1,1,0,0,2
ikuhisa minowa,Minowaman,175.26,82.1,,Orthodox,1976-01-12,1,0,0,0,1
jordan griffin,Native Psycho,177.8,65.77,185.42,Southpaw,1990-02-28,1,4,0,0,5
jon delos reyes,The Heat,167.64,56.7,170.18,Orthodox,1987-08-19,1,3,0,0,4
vagner rocha,Ceara,177.8,70.31,185.42,Orthodox,1982-06-06,1,3,0,0,4
kyle daukaus,,190.5,83.91,193.04,Southpaw,1993-02-27,2,4,0,1,7
rani yahya,,167.64,61.23,170.18,Orthodox,1984-09-12,13,6,1,1,21
shane roller,,177.8,70.31,182.88,Orthodox,1979-07-14,2,4,0,0,6
aleksei oleinik,The Boa Constrictor,187.96,108.86,203.2,Orthodox,1977-06-20,9,8,0,0,17
don shainis,Shameless,167.64,65.77,170.18,Orthodox,1990-09-16,0,2,0,0,2
dan argueta,The Determined,170.18,61.23,172.72,Southpaw,1993-08-13,1,4,0,1,6
raul rosas jr.,El Nino Problema,175.26,61.23,170.18,Switch,2004-10-08,4,1,0,0,5
miguel baeza,Caramel Thunder,187.96,77.11,187.96,Orthodox,1992-08-23,3,4,0,0,7
joe proctor,,177.8,70.31,182.88,Orthodox,1985-08-10,4,4,0,0,8
amanda cooper,ABC,160.02,52.16,162.56,Switch,1991-10-22,2,4,0,0,6
juliana miller,Killer,170.18,56.7,167.64,Orthodox,1996-05-07,1,2,0,0,3
louis smolka,Da Last Samurai,175.26,61.23,172.72,Orthodox,1991-07-16,8,9,0,0,17
assuerio silva,,177.8,109.32,,Orthodox,1974-06-18,0,3,0,0,3
johnny munoz,Kid Kvenbo,175.26,61.23,180.34,Orthodox,1993-02-16,2,4,0,0,6
jake rosholt,,185.42,83.91,,Orthodox,1982-02-09,1,2,0,0,3
sanae kikuta,,175.26,90.72,,Orthodox,1971-09-10,1,0,0,0,1
eric schafer,Red,190.5,83.91,193.04,Orthodox,1977-09-20,3,6,0,0,9
dan miller,,185.42,83.91,187.96,Orthodox,1981-06-30,6,7,0,0,13
jim miller,A-10,172.72,70.31,180.34,Southpaw,1983-08-30,27,17,0,1,45
jesus aguilar,,162.56,56.7,157.48,Orthodox,1996-03-13,3,1,0,0,4
brian foster,The Foster Boy,175.26,77.11,180.34,Orthodox,1984-04-03,3,2,0,0,5
lee murray,Lightning,190.5,83.91,,Orthodox,1977-09-12,1,0,0,0,1
joe pyfer,Bodybagz,187.96,83.91,190.5,Orthodox,1996-09-17,4,1,0,0,5
cole miller,Magrinho,185.42,65.77,185.42,Orthodox,1984-04-26,10,9,0,1,20
daniel pineda,The Pit,170.18,65.77,175.26,Orthodox,1985-08-06,5,8,0,1,14
kendall grove,Da Spyder,198.12,83.91,200.66,Orthodox,1982-11-12,7,6,0,0,13
danillo villefort,Indio,185.42,83.91,,Orthodox,1983-05-08,0,1,0,0,1
karlos vemola,,182.88,83.91,190.5,Orthodox,1985-07-03,2,4,0,0,6
cristina stanciu,Barbie,160.02,52.16,,Orthodox,1994-03-29,0,2,0,0,2
tom aspinall,,195.58,116.12,198.12,Orthodox,1993-04-11,8,1,0,0,9
nassourdine imavov,,190.5,83.91,190.5,Orthodox,1995-03-01,7,2,0,1,10
roman dolidze,,187.96,83.91,193.04,Orthodox,1988-07-15,8,3,0,0,11
brendan allen,All In,187.96,83.91,190.5,Orthodox,1995-12-28,12,3,0,0,15
steve berger,The Red Nosed Pitbull,180.34,77.11,,Orthodox,1973-05-20,0,2,0,1,3
david zawada,Sagat,182.88,77.11,190.5,Orthodox,1990-08-01,1,4,0,0,5
stefan struve,Skyscraper,210.82,120.2,213.36,Orthodox,1988-02-18,13,11,0,0,24
donny walker,Eagle Eye,175.26,61.23,,,,0,2,0,0,2
jason knight,The Kid,177.8,65.77,180.34,Orthodox,1992-07-14,4,5,0,0,9
cole smith,The Cole Train,180.34,61.23,170.18,Orthodox,1989-04-05,1,2,0,0,3
misha cirkunov,,190.5,92.99,195.58,Orthodox,1987-02-27,6,7,0,0,13
kazushi sakuraba,The Gracie Hunter,182.88,83.91,,Southpaw,1969-07-14,1,0,0,1,2
dustin neace,The Beast,175.26,65.77,,,,0,1,0,0,1
claude patrick,The Prince,180.34,77.11,190.5,Orthodox,1980-06-14,3,1,0,0,4
simeon thoresen,The Grin,185.42,77.11,200.66,Orthodox,1984-03-14,1,2,0,0,3
cody donovan,Donnybrook,190.5,92.99,187.96,Orthodox,1981-02-20,1,3,0,0,4
carlo prater,Neo,180.34,70.31,182.88,Switch,1981-06-25,1,2,0,0,3
damon jackson,The Leech,180.34,65.77,180.34,Switch,1988-08-08,6,6,1,1,14
